waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,recycling_rate,waste_disposed_of_tonne,year,calc_recycling_rate
nonferrous metal,85500.0,73100.0,0.85,12400.0,2010,85.5
used slag,382700.0,378900.0,0.99,3800.0,2010,99.01
ash sludge,114400.0,0.0,0.0,114400.0,2010,0.0
glass,79900.0,19200.0,0.24,60700.0,2010,24.03
textile leather,120900.0,14700.0,0.12,106200.0,2010,12.16
scrap tyre,24000.0,20000.0,0.83,4000.0,2010,83.33
others stone ceramic rubber etc,307400.0,3800.0,0.01,303600.0,2010,1.24
total,6517000.0,3757500.0,0.58,2759500.0,2010,57.66
food waste,606100.0,76700.0,0.13,529400.0,2009,12.65
paper cardboard,1201000.0,574200.0,0.48,626800.0,2009,47.81
plastic,688900.0,60300.0,0.09,628600.0,2009,8.75
construction debris,1175800.0,1150700.0,0.98,25100.0,2009,97.87
wood timber,287600.0,207400.0,0.72,80200.0,2009,72.11
horticultural waste,238100.0,93500.0,0.39,144600.0,2009,39.27
ferrous metal,872000.0,806200.0,0.92,65800.0,2009,92.45
nonferrous metal,57600.0,47500.0,0.82,10100.0,2009,82.47
used slag,422400.0,418600.0,0.99,3800.0,2009,99.1
ash sludge,88900.0,0.0,0.0,88900.0,2009,0.0
glass,73100.0,15600.0,0.21,57500.0,2009,21.34
textile leather,109100.0,12600.0,0.12,96500.0,2009,11.55
scrap tyre,22600.0,18700.0,0.83,3900.0,2009,82.74
others stone ceramic rubber etc,270900.0,3200.0,0.01,267700.0,2009,1.18
total,6114100.0,3485200.0,0.57,2628900.0,2009,57.0
food waste,568000.0,68000.0,0.12,500000.0,2008,11.97
paper cardboard,1262500.0,608600.0,0.48,653900.0,2008,48.21
plastic,684400.0,61200.0,0.09,623200.0,2008,8.94
construction debris,922000.0,900000.0,0.98,22000.0,2008,97.61
wood timber,269600.0,190200.0,0.71,79400.0,2008,70.55
horticultural waste,229300.0,96000.0,0.42,133300.0,2008,41.87
ferrous metal,784800.0,735000.0,0.94,49800.0,2008,93.65
nonferrous metal,85000.0,72000.0,0.85,13000.0,2008,84.71
used slag,566200.0,560500.0,0.99,5700.0,2008,98.99
ash sludge,114600.0,0.0,0.0,114600.0,2008,0.0
glass,57100.0,10000.0,0.18,47100.0,2008,17.51
textile leather,93300.0,11000.0,0.12,82300.0,2008,11.79
scrap tyre,25100.0,22100.0,0.88,3000.0,2008,88.05
others stone ceramic rubber etc,308300.0,8000.0,0.03,300300.0,2008,2.59
total,5970200.0,3342600.0,0.56,2627600.0,2008,55.99
food waste,558900.0,51200.0,0.09,507700.0,2007,9.16
paper cardboard,1202900.0,619000.0,0.51,583900.0,2007,51.46
plastic,659800.0,75000.0,0.11,584800.0,2007,11.37
construction debris,778300.0,759300.0,0.98,19000.0,2007,97.56
wood timber,246200.0,127800.0,0.52,118400.0,2007,51.91
horticultural waste,224600.0,91100.0,0.41,133500.0,2007,40.56
ferrous metal,736500.0,668000.0,0.91,68500.0,2007,90.7
nonferrous metal,92300.0,75600.0,0.82,16700.0,2007,81.91
used slag,527200.0,520000.0,0.99,7200.0,2007,98.63
ash sludge,124600.0,0.0,0.0,124600.0,2007,0.0
glass,65300.0,5800.0,0.09,59500.0,2007,8.88
textile leather,110100.0,6000.0,0.05,104100.0,2007,5.45
scrap tyre,25500.0,22000.0,0.86,3500.0,2007,86.27
others stone ceramic rubber etc,248600.0,14000.0,0.06,234600.0,2007,5.63
total,5600800.0,3034800.0,0.54,2566000.0,2007,54.19
food waste,542700.0,44700.0,0.08,498000.0,2006,8.24
paper cardboard,1116300.0,571400.0,0.51,544900.0,2006,51.19
plastic,656800.0,77800.0,0.12,579000.0,2006,11.85
construction debris,619000.0,604000.0,0.98,15000.0,2006,97.58
